Account Number, Name, Address, City, State, ZIP, Geocode State, Geocode County, Geocode Tract, Geocode MSA
"1","THE CITIZENS BANK","515 S COMMERCE ST","GENEVA","AL","36340","01","061","0503.00","20020"
"2","THE PERKINS STATE BANK","342 E NOBLE AVE","WILLISTON","FL","32696","12","075","9706.00",""
"3","HABERSHAM BANK","201 WASHINGTON ST","CLARKESVILLE","GA","30523","13","137","0003.00",""
"4","THE PEOPLES BANK","71 N BROAD ST","WINDER","GA","30680","13","013","1802.04","12060"
"5","COMMERCIAL BANK","101 S CRAWFORD ST","THOMASVILLE","GA","31792","13","275","9606.00",""
"6","FIRST STATE BANK OF MAPLETON","313 N 4TH ST","MAPLETON","IA","51034","19","133","9601.00",""
"7","FARMERS NATIONAL BANK","13447 DIXIE HWY","WALTON","KY","41094","21","117","0637.01","17140"
"8","STATE BANK & TRUST CO.","110 S IDAHO ST","DILLON","MT","59725","30","001","0003.00",""
"9","FIRST CAPITAL BANK","601 S MAIN ST","KINGFISHER","OK","73750","40","073","9583.00",""
"10","SUMMIT BANK","723 HAGGEN DR","BURLINGTON","WA","98233","53","057","9518.00","34580"
"11","FIRST STATE BANK","3 MAIN ST","CANISTEO","NY","14823","36","101","9619.00",""
"12","BANK OF SMITHTOWN","1 E MAIN ST","SMITHTOWN","NY","11787","36","103","1349.04","35004"
"13","TRADERS BANK","601 WASHINGTON ST","RAVENSWOOD","WV","26164","54","035","9633.00",""
"14","GREENBANK","100 N MAIN ST","GREENEVILLE","TN","37743","47","059","0904.00",""
"15","METROPOLITAN BANK AND TRUST COMPANY","2201 W CERMAK RD","CHICAGO","IL","60608","17","031","8413.00","16974"
"16","MOORHEAD STATE BANK","124 OAK ST","MOORHEAD","IA","51558","19","133","9604.00",""
"17","CITIZENS BANK","328 S SAGINAW ST","FLINT","MI","48502","26","049","0028.00","22420"
"18","M&I MARSHALL AND ILSLEY BANK","770 N WATER ST","MILWAUKEE","WI","53202","55","079","0144.00","33340"
"19","GLASGOW SAVINGS BANK","601 1ST ST","GLASGOW","MO","65254","29","089","9601.00",""
"20","SOUTHWEST BANK, AN M&I BANK","2301 S KINGSHIGHWAY BLVD","SAINT LOUIS","MO","63110","29","510","1272.00","41180"
"21","FARMERS STATE BANK","127 MAIN STREET","FAITH","SD","57626","46","093","0205.00","39660"
"22","FIRST FINANCIAL BANK","33 STATE HIGHWAY 75 N","HUNTSVILLE","TX","77320","48","471","7905.00",""
"23","BARNES BANKING COMPANY","33 S MAIN ST","KAYSVILLE","UT","84037","49","011","1271.00","36260"
"24","HEARTLAND BANK","4801 TOWN CENTER DR","LEAWOOD","KS","66211","20","091","0532.01","28140"
"25","BANK OF GREENSBURG","6151 HWY 10","GREENSBURG","LA","70441","22","091","9999.03","12940"
"26","ATWATER STATE BANK","222 ATLANTIC AVE","ATWATER","MN","56209","27","067","7811.00",""
"27","FIRST INDEPENDENT BANK","1220 MAIN ST","VANCOUVER","WA","98660","53","011","0424.00","38900"
"28","CITIZENS BANK OF BLYTHEDALE","727 7TH ST","BLYTHEDALE","MO","64426","29","081","9501.00",""
"29","FIRST STATE BANK OF JOPLIN","802 S MAIN ST","JOPLIN","MO","64801","29","097","0110.00","27900"
"30","THE FARMERS BANK OF LYNCHBURG","71 S MECHANIC ST","LYNCHBURG","TN","37352","47","127","9302.00",""
"31","COLORADO STATE BANK AND TRUST, N. A.","1600 BROADWAY","DENVER","CO","80202","08","031","0026.01","19740"
"32","THE FARMERS AND MERCHANTS STATE BANK","711 ELM ST","WAKEFIELD","KS","67487","20","027","4581.00",""
"33","HOME STATE BANK","316-320 SOUTH MAIN STREET","ERIE","KS","66733","20","133","9516.00",""
"34","PARK MIDWAY BANK, NATIONAL ASSOCIATION","2300 COMO AVE","SAINT PAUL","MN","55108","27","123","0301.00","33460"
"35","FARMERS STATE BANK OF DENT","101 1ST AVE N","DENT","MN","56528","27","111","9607.00",""
"36","THE UNION SAVINGS BANK","101 S OHIO AVE","SEDALIA","MO","65301","29","159","4809.00",""
"37","TOWN & COUNTRY BANK OF MISSOURI","100 N MAIN ST","LA GRANGE","MO","63448","29","111","9704.00",""
"38","THE EAST CAROLINA BANK","35050 US HIGHWAY 264","ENGELHARD","NC","27824","37","055","9705.01",""
"39","THE BANK OF CURRITUCK","250 CARATOKE HWY","MOYOCK","NC","27958","37","053","1102.00","47260"
"40","THE NATIONAL BANK OF SOUTH CAROLINA","1 BROAD ST","SUMTER","SC","29150","45","085","0020.00","44940"
"41","THE FIRST NATIONAL BANK OF BARNESVILLE","315 THOMASTON ST","BARNESVILLE","GA","30204","13","171","9703.00","12060"
"42","THE FIRST NATIONAL BANK OF FAIRFIELD","321 CENTRAL AVENUE","FAIRFIELD","MT","59436","30","099","0002.00",""
"43","FIRST BANK OF MONTANA","224 W MAIN ST","LEWISTOWN","MT","59457","30","027","0302.00",""
"44","FIRST BANK OF WYOMING","245 E 1ST ST","POWELL","WY","82435","56","029","9652.00",""
"45","THE FIRST STATE BANK","1001 MAIN STREET","CAMARGO","OK","73835","40","043","9999.03",""
"46","CITIZENS STATE BANK","301 WOOLSEY AVENUE","MORRISON","OK","73061","40","103","9566.00",""
"47","THE FIRST STATE BANK","308 N MAIN ST","FAIRFAX","OK","74637","40","113","9400.03","46140"
"48","WEST COAST BANK","5335 MEADOWS RD STE 201","LAKE OSWEGO","OR","97035","41","005","0203.02","38900"
"49","FIRST STATE BANK","401 MAIN PLZ","NEW BRAUNFELS","TX","78130","48","091","3101.00","41700"
"50","THE FIRST NATIONAL BANK OF LITCHFIELD","NORTH STREET","LITCHFIELD","CT","06759","09","005","9999.03",""
"51","THE BEVERLY NATIONAL BANK","240 CABOT ST","BEVERLY","MA","01915","25","009","2175.00","15764"
"52","THE FARMERS NATIONAL BANK OF CYNTHIANA","MAIN AND PIKE STREETS","CYNTHIANA","KY","41031","21","097","9999.03",""
"53","INEZ DEPOSIT BANK, FSB","202 E MAIN ST","LOUISA","KY","41230","21","127","9301.00",""
"54","LAWRENCEBURG  BANK AND TRUST COMPANY","128 S MAIN ST","LAWRENCEBURG","KY","40342","21","005","9502.01",""
"55","ALIANT BANK","200 ALIANT PKWY","ALEXANDER CITY","AL","35010","01","123","9623.00",""
"56","THE FIRST NATIONAL BANK OF JASPER","200 EIGHTEENTH STREET","JASPER","AL","35501","01","127","9999.03","13820"
"57","BANK OF CHOICE","3780 W 10TH ST","GREELEY","CO","80634","08","123","0014.10","24540"
"58","THE FIRST NATIONAL BANK OF ORDWAY","300-301 MAIN STREET","ORDWAY","CO","81063","08","025","9696.00",""
"59","FIRST FINANCIAL BANK, NATIONAL ASSOCIATI","151 W SOUTHLAKE BLVD","SOUTHLAKE","TX","76092","48","439","1139.08","23104"
"60","THE FIRST NATIONAL BANK OF CANTON","231 E TYLER ST","CANTON","TX","75103","48","467","9507.00",""
"61","FIRST FINANCIAL BANK, NATIONAL ASSOCIATI","403 N MAIN ST","CLEBURNE","TX","76033","48","251","1308.00","23104"
"62","FIRST COLEMAN NATIONAL BANK OF COLEMAN","100 S COMMERCIAL AVE","COLEMAN","TX","76834","48","083","9503.00",""
"63","SIGNATURE BANK","6757 ARAPAHO RD STE 725","DALLAS","TX","75248","48","113","0136.19","19124"
"64","THE FIRST NATIONAL BANK OF JACKSBORO","201 S MAIN ST","JACKSBORO","TX","76458","48","237","9503.00",""
"65","THE LA COSTE NATIONAL BANK","15996 S FRONT","LA COSTE","TX","78039","48","325","0001.01","41700"
"66","THE FIRST NATIONAL BANK OF MINEOLA","200 N PACIFIC ST","MINEOLA","TX","75773","48","499","9508.00",""
"67","FIRST FINANCIAL BANK, NATIONAL ASSOCIATI","1800 E HUBBARD ST","MINERAL WELLS","TX","76067","48","363","0008.00",""
"68","FIRST NATIONAL BANK IN MUNDAY","111 S MUNDAY AVE","MUNDAY","TX","76371","48","275","9999.03",""
"69","THE FIRST NATIONAL BANK OF GRANT PARK","119 N MAIN ST","GRANT PARK","IL","60940","17","091","0101.00","28100"
"70","FIRST NATIONAL BANK OF IVESDALE","301 CHAPIN ST","IVESDALE","IL","61851","17","019","0109.00","16580"
"71","THE CITIZENS NATIONAL BANK OF PARIS","110-114 WEST COURT STREET","PARIS","IL","61944","17","045","0703.00",""
"72","CITIZENS FIRST NATIONAL BANK","606 S MAIN ST","PRINCETON","IL","61356","17","011","9654.00",""
"73","AMCORE BANK, NATIONAL ASSOCIATION","501 7TH ST","ROCKFORD","IL","61104","17","201","0011.00","40420"
"74","WHITE HALL BANK","102 S MAIN ST","WHITE HALL","IL","62092","17","061","9739.00",""
"75","FIRST BANK OF WHITE","301 W MAIN ST","WHITE","SD","57276","46","011","9586.00",""
"76","UNION BANK OF CHANDLER","1001 MANVEL AVE","CHANDLER","OK","74834","40","081","9617.00","36420"
"77","THE CLEVELAND BANK","100 N BROADWAY ST","CLEVELAND","OK","74020","40","117","9571.00","46140"
"78","THE FIRST NATIONAL BANK OF DAVIS","227 E MAIN ST","DAVIS","OK","73030","40","099","7907.00",""
"79","FIRST STATE BANK, JONES, OKLAHOMA","9285 N HIWASSEE RD","JONES","OK","73049","40","109","1089.00","36420"
"80","THE OKEMAH NATIONAL BANK","302 W BROADWAY ST","OKEMAH","OK","74859","40","107","0809.00",""
"81","INTERBANK","1620 W 3RD ST","ELK CITY","OK","73644","40","009","9662.00",""
"82","INTEGRA BANK NATIONAL ASSOCIATION","21 SE 3RD ST","EVANSVILLE","IN","47708","18","163","0018.00","21780"
"83","THE FIRST NATIONAL BANK OF AKRON","251 REED ST","AKRON","IA","51001","19","149","9703.00","43580"
"84","BANK IOWA","1805 N BROADWAY ST","RED OAK","IA","51566","19","137","9603.00",""
"85","CITIZENS NATIONAL BANK","116 S LINCOLN ST","ARLINGTON","KS","67514","20","155","0017.00",""
"86","THE COLDWATER NATIVE BANK","145 E MAIN ST","COLDWATER","KS","67029","20","033","9676.00",""
"87","THE EXCHANGE NATIONAL BANK OF COTTONWOOD","235 BROADWAY ST","COTTONWD FLS","KS","66845","20","017","9606.00",""
"88","THE HOISINGTON NATIONAL BANK","SECOND AND MAIN STREETS","HOISINGTON","KS","67544","20","009","9999.03",""
"89","FIRST NATIONAL BANK & TRUST COMPANY IN L","102 W 6TH ST","LARNED","KS","67550","20","145","9702.00",""
"90","FIRST NATIONAL BANK & TRUST CO. OF LEAVE","630 DELAWARE ST","LEAVENWORTH","KS","66048","20","103","0701.00","28140"
"91","THE FIRST NATIONAL BANK OF LE ROY","SIXTH AND MAIN","LE ROY","KS","66857","20","031","9999.03",""
"92","FIRST COMMUNITY BANK","715 MERCHANT ST","EMPORIA","KS","66801","20","111","0004.00",""
"93","THE FIRST NATIONAL BANK OF SOUTHERN KANS","100 N OHIO ST","MOUNT HOPE","KS","67108","20","173","0104.00","48620"
"94","THE FIRST NATIONAL BANK OF OLATHE","444 E SANTA FE ST","OLATHE","KS","66061","20","091","0535.55","28140"
"95","FIRST NATIONAL BANK","1100 FORT ST","HAYS","KS","67601","20","051","0729.00",""
"96","UMB NATIONAL BANK OF AMERICA","100 S SANTA FE AVE","SALINA","KS","67401","20","169","0001.00",""
"97","1ST BANK OF TROY","212 S MAIN ST","TROY","KS","66087","20","043","0202.00","41140"
"98","THE FIRST NATIONAL BANK IN WELLINGTON","206 E HARVEY AVE","WELLINGTON","KS","67152","20","191","9625.00","48620"
"99","THE FIRST NATIONAL BANK OF LA FOLLETTE","106 S TENNESSEE AVE","LA FOLLETTE","TN","37766","47","013","9506.00","28940"
"100","RURAL AMERICAN BANK - BRAHAM","121 MAIN ST S","BRAHAM","MN","55006","27","059","1302.00","33460"
"101","FIRST NATIONAL BANK","1018 HOBART ST","HAWLEY","MN","56549","27","027","0302.01","22020"
"102","FIRST BANKING CENTER","400 MILWAUKEE AVE","BURLINGTON","WI","53105","55","101","0024.01","39540"
"103","THE FIRST NATIONAL BANK OF PLATTEVILLE","10 KEYSTONE PKWY","PLATTEVILLE","WI","53818","55","043","9609.00",""
"104","EVERGREEN STATE BANK","207 S FORREST ST","STOUGHTON","WI","53589","55","025","0122.01","31540"
"105","THE FIRST NATIONAL BANK OF CAMBRIDGE","707 PATTERSON ST","CAMBRIDGE","NE","69022","31","065","9639.00",""
"106","THE FIRST NATIONAL BANK OF FRIEND","150 MAPLE ST","FRIEND","NE","68359","31","151","9607.00",""
"107","CNB COMMUNITY BANK","123 S GALWAY ST","GREELEY","NE","68842","31","077","9709.00",""
"108","FIRST NATIONAL BANK AND TRUST OF SYRACUS","FIFTH AND MIDLAND STREETS","SYRACUSE","NE","68446","31","131","9999.03",""
"109","THE FIRST NATIONAL BANK OF VALENTINE","253 N MAIN ST","VALENTINE","NE","69201","31","031","9558.00",""
"110","COMMUNITY TRUST BANK OF TEXAS","8222 DOUGLAS AVE # 1","DALLAS","TX","75225","48","113","0073.01","19124"
"111","THE FARMERS NATIONAL BANK OF SEYMOUR","100 N WASHINGTON ST","SEYMOUR","TX","76380","48","023","9503.00",""
"112","VISION BANK","2200 STANFORD RD","PANAMA CITY","FL","32405","12","005","0015.02","37460"
"113","FLORIDA COMMUNITY BANK","1400 N 15TH ST","IMMOKALEE","FL","34142","12","021","0114.00","34940"
"114","CENTRAL BANK OF GEORGIA","285 S BROAD ST","ELLAVILLE","GA","31806","13","249","9602.00",""
"115","COMMUNITY BANK & TRUST","448 N MAIN ST","CORNELIA","GA","30531","13","137","0005.00",""
"116","SEA ISLAND BANK","2 E MAIN ST","STATESBORO","GA","30458","13","031","1105.00",""
"117","CITIZENS STATE BANK OF SHIPMAN","111 KEATING ST","SHIPMAN","IL","62685","17","117","9566.00","41180"
"118","KINDERHOOK STATE BANK","175 W QUINCY ST","KINDERHOOK","IL","62345","17","149","9525.00",""
"119","THE FARMERS STATE BANK","3988 W DELPHI RD","SWEETSER","IN","46987","18","053","9999.03",""
"120","BANK IOWA","1108 BROADWAY","DENISON","IA","51442","19","047","0704.00",""
"121","FIRST COMMUNITY BANK","716 ILLINOIS ST","SIDNEY","IA","51652","19","071","9702.00",""
"122","BANK OF GRANITE","1017 E MOREHEAD ST","CHARLOTTE","NC","28204","37","119","0003.00","16740"
"123","CITIZENS BANK OF SPENCER, TENN.","489 SPRING ST","SPENCER","TN","38585","47","175","9252.00",""
"124","SUPERIOR BANK","2820 E 2ND ST","SUPERIOR","WI","54880","55","031","0209.00","20260"
"125","THE CITIZENS NATIONAL BANK OF CHILLICOTH","33 W MAIN ST","CHILLICOTHE","OH","45601","39","141","9563.00",""
"126","THE RAPPAHANNOCK NATIONAL BANK OF WASHIN","257 GAY ST","WASHINGTON","VA","22747","51","157","9501.00","47894"
"127","ALLIANCE BANK, NATIONAL ASSOCIATION","120 MADISON ST MONY TOWER II1","SYRACUSE","NY","13202","36","067","9999.03","45060"
"128","WILBER NATIONAL BANK","245 MAIN ST","ONEONTA","NY","13820","36","077","5909.00",""
"129","THE STISSING NATIONAL BANK OF PINE PLAIN","2971 CHURCH ST","PINE PLAINS","NY","12567","36","027","1200.00","20524"
"130","THE HARLEYSVILLE NATIONAL BANK AND TRUST","278 MAIN ST # RT","HARLEYSVILLE","PA","19438","42","091","2070.01","33874"
"131","UNION NATIONAL COMMUNITY BANK","570 LAUSCH LN","LANCASTER","PA","17601","42","071","0118.04","29540"
"132","FIRST NATIONAL BANK OF CHESTER COUNTY","9 N HIGH ST","WEST CHESTER","PA","19380","42","029","9999.03","33874"
"133","STATE BANK & TRUST COMPANY","124 1ST ST SE","WAVERLY","IA","50677","19","017","0042.00","47940"
"134","STATE BANK OF BIRD ISLAND","205 MAIN ST","BIRD ISLAND","MN","55310","27","129","7902.00",""
"135","STATE BANK OF COKATO","101 3RD ST SE","COKATO","MN","55321","27","171","1013.00","33460"
"136","FIRST SECURITY BANK - EVANSVILLE","303 KRON ST","EVANSVILLE","MN","56326","27","041","4502.00",""
"137","FARMERS STATE BANK OF SHERBURN","33 N MAIN ST","SHERBURN","MN","56171","27","091","7903.00",""
"138","THE BUFFALO RIDGE BANK","101 MAIN ST N","BEARDSLEY","MN","56211","27","011","9502.00",""
"139","STATE BANK OF AURORA","213 MAIN ST N","AURORA","MN","55705","27","137","0138.00","20260"
"140","BANK OF LEETON","101 E STONE AVE","LEETON","MO","64761","29","101","9609.00",""
"141","BANK OF BIRCH TREE","COUNTY ROAD FF AND U.S. HIGHWAY 60","BIRCH TREE","MO","65438","29","203","9999.03",""
"142","RAVALLI COUNTY BANK","244 PINCKNEY ST","HAMILTON","MT","59840","30","081","0005.00",""
"143","FIRST NATIONAL BANK","1123 B ST","SCHUYLER","NE","68661","31","037","9648.00",""
"144","DE WITT STATE BANK","FILLMORE STREET","DE WITT","NE","68341","31","151","9999.03",""
"145","UNION STATE BANK","400 MAIN ST","ROCKWELL CITY","IA","50579","19","025","9502.00",""
"146","FIRST COMMUNITY BANK SILVER LAKE","201 MAIN ST W","SILVER LAKE","MN","55381","27","085","9501.00",""
"147","EXCHANGE BANK OF FAIRFAX","110 E MAIN ST","FAIRFAX","MO","64446","29","005","9501.00",""
"148","FIRST STATE BANK","HIGHWAY 30 AND C STREET","SHELTON","NE","68876","31","019","9999.03",""
"149","SCANDIA AMERICAN BANK & TRUST","FIRST AND MAIN STREETS","STANLEY","ND","58784","38","061","9999.03",""
"150","THE SALT LICK DEPOSIT BANK","113 MAIN ST","SALT LICK","KY","40371","21","011","9703.00",""
"151","THE PEOPLES STATE BANK","8801 SAN ANTONIO AVENUE","MANY","LA","71449","22","085","9999.03",""
"152","STATE BANK OF BRICELYN","219 N MAIN ST","BRICELYN","MN","56014","27","043","4605.00",""
"153","PEOPLES STATE BANK","212 CALUMET AVE SE","DE SMET","SD","57231","46","077","9582.00",""
"154","CB&T BANK OF EAST ALABAMA","1000 13TH ST","PHENIX CITY","AL","36867","01","113","0307.00","17980"
"155","BLUESTEM NATIONAL BANK","104 E LOCUST ST","FAIRBURY","IL","61739","17","105","9608.00",""
"156","FIRSTBANK - ALMA","311 WOODWORTH AVE","ALMA","MI","48801","26","057","0006.00",""
"157","KIT CARSON STATE BANK","113 MAIN ST","KIT CARSON","CO","80825","08","017","9606.00",""
"158","FARMERS' AND TRADERS' STATE BANK","203 W COMANCHE AVE","SHABBONA","IL","60550","17","037","0018.00","20994"
"159","BANK OF ILLINOIS","200 W COLLEGE AVE","NORMAL","IL","61761","17","113","0001.02","14010"
"160","NAPOLEON BANK","295 W 2ND ST","NAPOLEON","MO","64074","29","107","0901.00","28140"
"161","RURAL AMERICAN BANK - LUCK","200 S MAIN ST","LUCK","WI","54853","55","095","9602.00",""
"162","COASTAL COMMUNITY BANK","12141 PANAMA CITY BEACH PKWY","PANAMA CITY","FL","32407","12","005","0027.04","37460"
"163","FARMERS DEPOSIT BANK","5230 S MAIN ST","EMINENCE","KY","40019","21","103","0903.02","31140"
"164","FIRST STATE BANK OF MURDOCK","520 MAIN AVE","MURDOCK","MN","56271","27","151","9601.00",""
"165","FIRST STATE BANK","169 S FRANKSTON HWY","FRANKSTON","TX","75763","48","001","9501.00",""
"166","NORTHERN NECK STATE BANK","5839 RICHMOND RD","WARSAW","VA","22572","51","159","0401.00",""
"167","BANK OF HIAWASSEE","20 MAIN STREET","HIAWASSEE","GA","30546","13","281","9603.00",""
"168","FIRST STATE BANK AND TRUST COMPANY OF VA","3650 INNER PERIMETER RD","VALDOSTA","GA","31602","13","185","0106.01","46660"
"169","WESTERN SPRINGS NATIONAL BANK AND TRUST","4456 WOLF RD","WESTERN SPRGS","IL","60558","17","031","8198.01","16974"
"170","BANK IOWA","506 SUMNER AVE","HUMBOLDT","IA","50548","19","091","9703.00",""
"171","THE KEVIL BANK","952 KENTUCKY AVE","KEVIL","KY","42053","21","007","9501.00",""
"172","FLAGSHIP BANK WINSTED","110 1ST ST N","WINSTED","MN","55395","27","085","9501.00",""
"173","SECURITY STATE BANK OF HOWARD LAKE","900 6TH ST","HOWARD LAKE","MN","55349","27","171","1012.00","33460"
"174","FIRST STATE BANK OF ALEXANDRIA","3313 HIGHWAY 29 S","ALEXANDRIA","MN","56308","27","041","4507.01",""
"175","THE RIVERBANK","26777 FALLBROOK AVE","WYOMING","MN","55092","27","025","1104.01","33460"
"176","CITIZENS STATE BANK OF CROPSEY","130 MAIN ST","CROPSEY","IL","61731","17","113","0057.00","14010"
"177","FIRST STATE BANK OF DIX","312 N MAIN ST","DIX","IL","62830","17","081","0501.00",""
"178","HYDE PARK BANK AND TRUST COMPANY","1525 E 53RD ST","CHICAGO","IL","60615","17","031","4108.00","16974"
"179","THUNDER BANK","102 N MAIN ST","SYLVAN GROVE","KS","67481","20","105","0861.00",""
"180","STATE BANK OF SLATER","201 W MAPLE ST","SLATER","MO","65349","29","195","0901.00",""
